<<<<<<< HEAD
id,createdOn,creator_id,topic_id
1,2011-05-13,86151,1
2,2010-09-25,90096,5
3,2015-04-03,16800,6
4,2012-03-21,9060,2
5,2014-09-26,68145,6
6,2015-06-14,12029,10
7,2015-06-15,64167,2
8,2015-06-02,52577,3
9,2015-07-30,62710,5
10,2014-08-20,46513,6
11,2015-10-24,24235,1
12,2009-07-03,90756,7
13,2015-12-18,2221,6
14,2006-04-27,44191,7
15,2015-10-28,8718,6
16,2011-12-02,73395,5
17,2014-11-09,93684,1
18,2011-09-20,51250,2
19,2010-05-30,75614,7
20,2007-05-02,10127,3
21,2015-12-21,76117,8
22,2013-01-15,78994,1
23,2012-03-16,86770,6
24,2011-04-09,43989,10
25,2014-10-18,9894,7
26,2008-06-08,61439,10
27,2011-04-12,12361,8
28,2010-11-25,90394,10
29,2002-02-20,72066,9
30,2015-10-18,33682,8
31,2011-12-21,2896,6
32,2015-12-16,78860,8
33,2015-12-15,55347,1
34,2015-01-21,40352,9
35,2012-02-21,45146,6
36,2014-08-22,45429,3
37,2014-08-21,8522,2
38,2009-02-16,37976,10
39,2015-02-01,36071,9
40,2014-05-01,71705,6
41,2013-09-14,88194,8
42,2010-06-14,94530,3
43,2014-07-22,89759,8
44,2007-01-02,80788,10
45,2013-06-16,90018,10
46,2015-04-06,89215,2
47,2015-08-30,58774,10
48,2015-05-29,60286,2
49,2014-01-01,17177,4
50,2007-09-03,58029,10
51,2012-02-06,53287,6
52,2003-12-09,22025,4
53,2009-08-19,19778,4
54,2015-08-10,37346,9
55,2002-09-16,45755,8
56,2008-07-22,25823,9
57,2009-08-12,29951,9
58,2010-11-22,19726,9
59,2015-03-01,64993,4
60,2014-11-29,66182,1
61,2015-05-12,54656,8
62,2014-07-18,47803,1
63,2015-11-18,79989,7
64,2015-06-23,16413,2
65,2015-10-02,77051,6
66,2014-10-13,26510,6
67,2012-06-21,54939,9
68,2015-04-24,33918,9
69,2013-02-04,17682,3
70,2003-11-30,79461,1
